split,style_set,k,exposure_cap,periods,net_ann,net_ir,net_max_drawdown,excess_benchmark_ann,excess_exec_universe_ann,avg_desired_turnover,avg_filled_turnover,avg_constraint_reject_count,fallback_rate,avg_max_abs_target_exposure_z,avg_abs_target_exposure_z,avg_partial_fill_count,avg_position_count
test,full_style,10,0.15,66,0.665789171178697,0.25433651762607146,-0.18682896438655905,0.05620584391387684,0.16453414320943915,1.7804144330883966,0.13726835864946746,80.0,1.0,0.6377144044399141,0.3016481757050968,23.484848484848484,24.772727272727273
test,full_style,10,0.25,66,0.665789171178697,0.25433651762607146,-0.18682896438655905,0.05620584391387684,0.16453414320943915,1.7804144330883966,0.13726835864946746,80.0,1.0,0.6377144044399141,0.3016481757050968,23.484848484848484,24.772727272727273
test,full_style,10,0.35,66,0.665789171178697,0.25433651762607146,-0.18682896438655905,0.05620584391387684,0.16453414320943915,1.7804144330883966,0.13726835864946746,80.0,1.0,0.6377144044399141,0.3016481757050968,23.484848484848484,24.772727272727273
test,full_style,10,0.5,66,0.6701459162583574,0.25537374341068836,-0.18682896438655905,0.059093343148806765,0.167787350548539,1.784889830615869,0.13740672598426226,79.10606060606061,0.9848484848484849,0.6305312931891531,0.30019638169804824,23.575757575757574,24.863636363636363
test,full_style,30,0.15,66,0.49801868224054324,0.2440779761825053,-0.185524495428544,-0.05446995343276062,0.04599437121972927,1.35023531015785,0.22270196629758177,86.4090909090909,1.0,0.38853773839194433,0.18131367414877608,53.36363636363637,64.92424242424242
test,full_style,30,0.25,66,0.49801868224054324,0.2440779761825053,-0.185524495428544,-0.05446995343276062,0.04599437121972927,1.35023531015785,0.22270196629758177,86.4090909090909,1.0,0.38853773839194433,0.18131367414877608,53.36363636363637,64.92424242424242
test,full_style,30,0.35,66,0.49801868224054324,0.2440779761825053,-0.185524495428544,-0.05446995343276062,0.04599437121972927,1.35023531015785,0.22270196629758177,86.4090909090909,1.0,0.38853773839194433,0.18131367414877608,53.36363636363637,64.92424242424242
test,full_style,30,0.5,66,0.4905768053696937,0.2414938190454107,-0.185524495428544,-0.05923878496539314,0.04072837880543667,1.3575047172014112,0.2238744146799471,83.87878787878788,0.9696969696969697,0.3826859641004644,0.17858700905307665,53.86363636363637,65.0
test,industry_proxy,10,0.15,66,0.6541961440946382,0.24791239071549429,-0.1973689175140706,0.05030131978988717,0.15708219795007428,1.7768765313848576,0.14133940754863808,79.24242424242425,0.9848484848484849,0.41289886780813306,0.25838520577258767,23.136363636363637,25.106060606060606
test,industry_proxy,10,0.25,66,0.6528701236949823,0.24710141338108207,-0.1984361667341824,0.049875442036327655,0.1567212220083718,1.7646585422105796,0.14022523368017362,72.78787878787878,0.8787878787878788,0.38190942601530864,0.23423575259037593,23.0,24.303030303030305
test,industry_proxy,10,0.35,66,0.49089769770600267,0.20063243739642095,-0.20305734693016975,-0.055963461644160106,0.04225199791309553,1.7960700985993434,0.12420624865712578,60.65151515151515,0.6666666666666666,0.35642205018052914,0.21603714265302051,23.803030303030305,25.37878787878788
test,industry_proxy,10,0.5,66,0.4519176730010088,0.1990711537979685,-0.20913226243839378,-0.07956949925482881,0.018655454136567107,1.734559833027308,0.11856834519288872,25.136363636363637,0.21212121212121213,0.3526756997828279,0.20816237358126077,21.181818181818183,25.12121212121212
test,industry_proxy,30,0.15,66,0.5509742666311392,0.25682994000860715,-0.19356080234646678,-0.018265215029967696,0.08496769968731521,1.3532696596711293,0.22329240207345147,84.87878787878788,0.9696969696969697,0.254120353406179,0.14552743205056973,52.92424242424242,64.04545454545455
test,industry_proxy,30,0.25,66,0.49802866017402625,0.23975616018182536,-0.1909822949556892,-0.052719162042820344,0.04730616514315389,1.349652357725105,0.21759620617462033,72.81818181818181,0.8333333333333334,0.24147474881732703,0.13922396021510233,53.90909090909091,64.12121212121212
test,industry_proxy,30,0.35,66,0.5039324914069305,0.23587961610555438,-0.1988587451294005,-0.04713687963751856,0.052755895943920716,1.3789446331265698,0.22324372930386754,57.86363636363637,0.6212121212121212,0.24457553011292757,0.1459056097089119,55.39393939393939,67.31818181818181
test,industry_proxy,30,0.5,66,0.42183473619845,0.2029272391148905,-0.22735075980945385,-0.09988962076649044,-0.002827059204200233,1.110193276857109,0.17752455230345499,20.40909090909091,0.19696969696969696,0.19239026497587153,0.11185239140562685,46.89393939393939,57.84848484848485
test,industry_size,10,0.15,66,0.6509524081476528,0.24823326841536292,-0.19757079952382273,0.04714202127227951,0.15404485907968546,1.7733841765175442,0.13901616374983378,80.0,1.0,0.5133636501067982,0.2886491265754849,23.181818181818183,25.136363636363637
test,industry_size,10,0.25,66,0.6499262175568932,0.2479782155885321,-0.19757079952382273,0.04646190477373935,0.15328062122935782,1.7738030102353664,0.13871918547769457,79.96969696969697,1.0,0.5099801025786683,0.2851642575945007,23.181818181818183,25.136363636363637
test,industry_size,10,0.35,66,0.5756298712170527,0.22601863913765327,-0.19757079952382273,-0.0013920612750679684,0.10124298159820988,1.779630388920727,0.13674727025317515,78.15151515151516,0.9545454545454546,0.5106148147259479,0.2852741458757913,23.12121212121212,25.03030303030303
test,industry_size,10,0.5,66,0.589711451113144,0.22826185422560932,-0.1974989697114764,0.008670874981180576,0.11252139849373233,1.7785890466215517,0.11717796591815541,47.53030303030303,0.5303030303030303,0.43464489490939107,0.2384664160305442,24.136363636363637,25.772727272727273
test,industry_size,30,0.15,66,0.531678444324472,0.25198473873006816,-0.19071697876852556,-0.031741406792972215,0.07097523532606798,1.348730159626557,0.22312087311920914,86.4090909090909,1.0,0.2840442462082366,0.1507158128075713,53.378787878787875,64.18181818181819
test,industry_size,30,0.25,66,0.5283094557157153,0.2503606679904699,-0.19071697876852556,-0.03372956959343809,0.0687507742632516,1.3484949541839897,0.2232398189841473,86.37878787878788,1.0,0.2838909294762927,0.15087710339659793,53.36363636363637,64.13636363636364
test,industry_size,30,0.35,66,0.5089233288983959,0.2467782763684464,-0.19071697876852556,-0.04700969107836339,0.053883695018347444,1.3514391147977352,0.2230747010297389,82.5909090909091,0.9393939393939394,0.2805800193095409,0.14959884408809807,53.333333333333336,65.01515151515152
test,industry_size,30,0.5,66,0.5284908098455781,0.24484016739550968,-0.19415097799394354,-0.0327894999003131,0.07084912526954512,1.3456602939800861,0.21277733361593282,47.07575757575758,0.5303030303030303,0.26068872450412156,0.13867326720872367,54.45454545454545,67.18181818181819
validation,full_style,10,0.15,97,-0.16123184245226985,-0.044406793795536206,-0.5100976788659415,-0.15616807840919011,-0.08689399541661746,1.799444538189502,0.045358527385565096,80.0,1.0,0.6362780681443952,0.2865542989139636,24.010309278350515,26.938144329896907
validation,full_style,10,0.25,97,-0.16123184245226985,-0.044406793795536206,-0.5100976788659415,-0.15616807840919011,-0.08689399541661746,1.799444538189502,0.045358527385565096,80.0,1.0,0.6362780681443952,0.2865542989139636,24.010309278350515,26.938144329896907
validation,full_style,10,0.35,97,-0.16123184245226985,-0.044406793795536206,-0.5100976788659415,-0.15616807840919011,-0.08689399541661746,1.799444538189502,0.045358527385565096,80.0,1.0,0.6362780681443952,0.2865542989139636,24.010309278350515,26.938144329896907
validation,full_style,10,0.5,97,-0.16122959628052214,-0.04440735982358899,-0.5100954244287609,-0.15616728054001527,-0.08689272088984568,1.7994383470395579,0.04514925455670909,79.98969072164948,1.0,0.6358206845616858,0.2871739266236952,24.0,26.927835051546392
validation,full_style,30,0.15,97,-0.16171478424713392,-0.04058259199905675,-0.5376085090371078,-0.14966330508629244,-0.07826260509762484,1.4274351286836866,0.10413776855320843,90.49484536082474,1.0,0.399079581191215,0.18239432024122856,59.845360824742265,71.04123711340206
validation,full_style,30,0.25,97,-0.16171478424713392,-0.04058259199905675,-0.5376085090371078,-0.14966330508629244,-0.07826260509762484,1.4274351286836866,0.10413776855320843,90.49484536082474,1.0,0.399079581191215,0.18239432024122856,59.845360824742265,71.04123711340206
validation,full_style,30,0.35,97,-0.16171478424713392,-0.04058259199905675,-0.5376085090371078,-0.14966330508629244,-0.07826260509762484,1.4274351286836866,0.10413776855320843,90.49484536082474,1.0,0.399079581191215,0.18239432024122856,59.845360824742265,71.04123711340206
validation,full_style,30,0.5,97,-0.16183262854207903,-0.040628336410134885,-0.537767474371481,-0.14977530743184198,-0.07838146221419162,1.4273793109786743,0.10414939140410287,90.48453608247422,1.0,0.3991749139908914,0.1825636465340034,59.855670103092784,71.05154639175258
validation,industry_proxy,10,0.15,97,-0.2509241544056834,-0.08399246045404313,-0.5840804778208524,-0.24198637850905458,-0.17941505541146363,1.7724161540453405,0.04778912471633254,79.9278350515464,1.0,0.45842501696910887,0.2681169943210425,23.649484536082475,26.608247422680414
validation,industry_proxy,10,0.25,97,-0.2565232175783151,-0.0874892913410895,-0.5851732846451939,-0.24807657024472696,-0.18590502180777257,1.7729990652567291,0.04701165227016742,78.82474226804123,0.9690721649484536,0.4481874212042812,0.26046077540959145,23.61855670103093,26.577319587628867
validation,industry_proxy,10,0.35,97,-0.2591473026927412,-0.08909009928217564,-0.5867988744313944,-0.25102804461394757,-0.18899834216706768,1.7562175489142617,0.0473234764946243,72.08247422680412,0.845360824742268,0.4103228564892779,0.23729768401097528,23.45360824742268,28.350515463917525
validation,industry_proxy,10,0.5,97,-0.16295246221229276,-0.03171514588103248,-0.5421044627464188,-0.1591928956114762,-0.08507320434015742,1.8622632213541659,0.041247594620404185,28.237113402061855,0.25773195876288657,0.32505962382620285,0.19267311639173143,21.68041237113402,27.484536082474225
validation,industry_proxy,30,0.15,97,-0.2043903070149058,-0.05996322438783158,-0.5568420134379384,-0.19288179514398252,-0.12492418673790529,1.4139145731511593,0.10463362739976333,90.42268041237114,1.0,0.250758389026347,0.14537434964147414,59.28865979381443,70.29896907216495
validation,industry_proxy,30,0.25,97,-0.2004610028905086,-0.05902349846373758,-0.5513071272311935,-0.18953717905329792,-0.12124448458784798,1.417405656624517,0.10376034553827747,86.77319587628865,0.9484536082474226,0.24354655322366522,0.14173774552821072,59.54639175257732,70.0721649484536
validation,industry_proxy,30,0.35,97,-0.1955466258440166,-0.057941823330295655,-0.5440852585589507,-0.18551024947839978,-0.11698693304989094,1.4244353326617742,0.10458339562407246,71.62886597938144,0.7628865979381443,0.23443228629635943,0.13570551667337252,60.65979381443299,72.3917525773196
validation,industry_proxy,30,0.5,97,-0.036317003045361895,0.007807071313501183,-0.42881923720334914,-0.03143765536570731,0.05166546678689965,1.3826486365178483,0.0931560815147756,21.52577319587629,0.2268041237113402,0.2295441855408544,0.13179792154948983,56.31958762886598,67.51546391752578
validation,industry_size,10,0.15,97,-0.2511434200715088,-0.08406311234239844,-0.5843661162016955,-0.24220316164611122,-0.17963870556806072,1.7755013284589045,0.04687433996425072,79.98969072164948,1.0,0.5079703172322626,0.27859503146654324,23.721649484536083,26.701030927835053
validation,industry_size,10,0.25,97,-0.2598981197660911,-0.08963031898563822,-0.5848085035884508,-0.2518696654741125,-0.18993170682291083,1.7710868720978048,0.04642830801267375,79.4020618556701,0.9896907216494846,0.5005627208872266,0.27347329655417246,23.65979381443299,26.63917525773196
validation,industry_size,10,0.35,97,-0.2546550045685685,-0.08637667270521025,-0.5840943144779167,-0.2461039253998515,-0.183769715998355,1.769896290752147,0.04546950042406323,76.0721649484536,0.9278350515463918,0.47538820899717876,0.2601944781179955,23.649484536082475,28.0
validation,industry_size,10,0.5,97,-0.2566711797891579,-0.08851711505134756,-0.5807767941537575,-0.24856470551129495,-0.18630320002573098,1.7306410745884722,0.04429139458287721,43.44329896907217,0.4742268041237113,0.38203910635373856,0.20177927192470682,24.608247422680414,25.237113402061855
validation,industry_size,30,0.15,97,-0.20339050147388693,-0.05923108084386157,-0.5572387808993269,-0.19170878103309652,-0.12360524597458589,1.4199156452841764,0.1042949004288799,90.48453608247422,1.0,0.279659862403233,0.15165673586169096,59.63917525773196,70.55670103092784
validation,industry_size,30,0.25,97,-0.21386500404387188,-0.06519992789380535,-0.5574773864565693,-0.20339650578977464,-0.13607602704228594,1.4208716723660195,0.10412183798349076,89.79381443298969,0.9896907216494846,0.27579484476634764,0.14888455902635955,59.65979381443299,70.27835051546391
validation,industry_size,30,0.35,97,-0.1987459987797624,-0.058185697600396276,-0.5483985416332791,-0.18797222519246415,-0.119496530636093,1.4366698142401233,0.10498751128119976,84.18556701030928,0.9175257731958762,0.2735377390270906,0.14753348277419912,60.63917525773196,71.0
validation,industry_size,30,0.5,97,-0.1938003647152614,-0.059964657804777756,-0.5457372899621435,-0.18582225500277028,-0.1168268958612021,1.3280653054933285,0.10003930442766365,40.96907216494845,0.44329896907216493,0.2576303182847957,0.1417501870678383,58.175257731958766,69.23711340206185
