split,style_set,candidate_count,exposure_cap,min_invested,turnover_cap,periods,net_ann,net_ir,net_max_drawdown,excess_benchmark_ann,excess_exec_universe_ann,solver_success_rate,avg_invested_weight,avg_cash_weight,avg_turnover,avg_max_abs_exposure_z,avg_abs_exposure_z,avg_nonzero_names
test,full_style,80,0.15,0.6,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,80,0.15,0.6,0.6,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,80,0.15,0.6,1.0,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,80,0.15,0.8,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,80,0.15,0.8,0.6,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,80,0.15,0.8,1.0,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,80,0.15,1.0,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,80,0.15,1.0,0.6,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,80,0.15,1.0,1.0,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,80,0.25,0.6,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,80,0.25,0.6,0.6,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,80,0.25,0.6,1.0,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,80,0.25,0.8,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,80,0.25,0.8,0.6,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,80,0.25,0.8,1.0,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,80,0.25,1.0,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,80,0.25,1.0,0.6,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,80,0.25,1.0,1.0,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,80,0.35,0.6,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,80,0.35,0.6,0.6,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,80,0.35,0.6,1.0,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,80,0.35,0.8,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,80,0.35,0.8,0.6,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,80,0.35,0.8,1.0,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,80,0.35,1.0,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,80,0.35,1.0,0.6,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,80,0.35,1.0,1.0,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,120,0.15,0.6,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,120,0.15,0.6,0.6,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,120,0.15,0.6,1.0,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,120,0.15,0.8,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,120,0.15,0.8,0.6,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,120,0.15,0.8,1.0,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,120,0.15,1.0,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,120,0.15,1.0,0.6,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,120,0.15,1.0,1.0,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,120,0.25,0.6,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,120,0.25,0.6,0.6,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,120,0.25,0.6,1.0,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,120,0.25,0.8,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,120,0.25,0.8,0.6,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,120,0.25,0.8,1.0,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,120,0.25,1.0,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,120,0.25,1.0,0.6,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,120,0.25,1.0,1.0,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,120,0.35,0.6,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,120,0.35,0.6,0.6,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,120,0.35,0.6,1.0,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,120,0.35,0.8,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,120,0.35,0.8,0.6,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,120,0.35,0.8,1.0,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,120,0.35,1.0,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,120,0.35,1.0,0.6,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,full_style,120,0.35,1.0,1.0,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,80,0.15,0.6,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,80,0.15,0.6,0.6,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,80,0.15,0.6,1.0,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,80,0.15,0.8,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,80,0.15,0.8,0.6,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,80,0.15,0.8,1.0,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,80,0.15,1.0,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,80,0.15,1.0,0.6,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,80,0.15,1.0,1.0,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,80,0.25,0.6,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,80,0.25,0.6,0.6,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,80,0.25,0.6,1.0,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,80,0.25,0.8,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,80,0.25,0.8,0.6,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,80,0.25,0.8,1.0,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,80,0.25,1.0,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,80,0.25,1.0,0.6,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,80,0.25,1.0,1.0,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,80,0.35,0.6,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,80,0.35,0.6,0.6,66,0.14248638619554543,0.15365950143962032,-0.09125484831402286,-0.31418393971836,-0.24008139158323671,0.24242424242424243,0.1971249921295738,0.8028750078704262,0.0919593415070462,0.340712232015684,0.22718998371943172,62.3125
test,industry_size,80,0.35,0.6,1.0,66,0.14248638619554543,0.15365950143962032,-0.09125484831402286,-0.31418393971836,-0.24008139158323671,0.24242424242424243,0.1971249921295738,0.8028750078704262,0.0919593415070462,0.340712232015684,0.22718998371943172,62.3125
test,industry_size,80,0.35,0.8,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,80,0.35,0.8,0.6,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,80,0.35,0.8,1.0,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,80,0.35,1.0,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,80,0.35,1.0,0.6,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,80,0.35,1.0,1.0,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,120,0.15,0.6,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,120,0.15,0.6,0.6,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,120,0.15,0.6,1.0,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,120,0.15,0.8,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,120,0.15,0.8,0.6,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,120,0.15,0.8,1.0,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,120,0.15,1.0,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,120,0.15,1.0,0.6,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,120,0.15,1.0,1.0,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,120,0.25,0.6,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,120,0.25,0.6,0.6,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,120,0.25,0.6,1.0,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,120,0.25,0.8,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,120,0.25,0.8,0.6,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,120,0.25,0.8,1.0,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,120,0.25,1.0,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,120,0.25,1.0,0.6,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,120,0.25,1.0,1.0,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,120,0.35,0.6,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,120,0.35,0.6,0.6,66,0.13884240820835636,0.14267974697491073,-0.10597290190088315,-0.31571789966607255,-0.24178077462124714,0.24242424242424243,0.21691786932423693,0.783082130675763,0.09588993190461421,0.3407353030870528,0.22074385238564231,65.75
test,industry_size,120,0.35,0.6,1.0,66,0.13884240820835636,0.14267974697491073,-0.10597290190088315,-0.31571789966607255,-0.24178077462124714,0.24242424242424243,0.21691786932423693,0.783082130675763,0.09588993190461421,0.3407353030870528,0.22074385238564231,65.75
test,industry_size,120,0.35,0.8,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,120,0.35,0.8,0.6,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,120,0.35,0.8,1.0,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,120,0.35,1.0,0.3,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
test,industry_size,120,0.35,1.0,0.6,66,0.0,,0.0,-0.4085207474382141,-0.3431767890123407,0.0,0.0,1.0,0.0,,,
